TPX,TPY,TPZ,TVX,TVY,TVZ
0.0,0.0,1.9389344413765235,0.0,0.0,0.06232570292563963
0.0,0.0,1.9395514022148852,0.0,0.0,0.06169608383618301
0.0,0.0,1.940162130136979,0.0,0.0,0.06107279220939302
0.0,0.0,1.9407666878186474,0.0,0.0,0.06045576816686214
0.0,0.0,1.9413651373180447,0.0,0.0,0.05984494993972175
0.0,0.0,1.94195754018897,0.0,0.0,0.05924028709253727
0.0,0.0,1.9425439573322216,0.0,0.0,0.05864171432515278
0.0,0.0,1.9431244492405977,0.0,0.0,0.05804919083760959
0.0,0.0,1.9436990757205188,0.0,0.0,0.05746264799209688
0.0,0.0,1.9442678960030788,0.0,0.0,0.05688202825601417
0.0,0.0,1.9448309687258134,0.0,0.0,0.05630727227347604
0.0,0.0,1.945388352046741,0.0,0.0,0.055738332092761925
0.0,0.0,1.945940103496406,0.0,0.0,0.055175144966492146
0.0,0.0,1.9464862802236262,0.0,0.0,0.05461767272202407
0.0,0.0,1.9470269387178627,0.0,0.0,0.05406584942365161
0.0,0.0,1.9475621349210712,0.0,0.0,0.053519620320868475
0.0,0.0,1.9480919240773966,0.0,0.0,0.05297891563253869
0.0,0.0,1.9486163609765765,0.0,0.0,0.05244368991798144
0.0,0.0,1.9491354998066566,0.0,0.0,0.05191388300800841
0.0,0.0,1.9496493941347897,0.0,0.0,0.05138943281329453
0.0,0.0,1.950158096887339,0.0,0.0,0.05087027525493866
0.0,0.0,1.950158096887339,0.0,0.0,0.05087027525493866
0.0,0.0,1.9500876606885065,0.0,0.0,-0.007043619883245339
0.0,0.0,1.9494065749915332,0.0,0.0,-0.0681085696973284
0.0,0.0,1.9481150249921364,0.0,0.0,-0.1291549999396697
0.0,0.0,1.9462134967520561,0.0,0.0,-0.19015282400802172
0.0,0.0,1.9437027765583963,0.0,0.0,-0.2510720193659638
0.0,0.0,1.9405839495150428,0.0,0.0,-0.31188270433536514
0.0,0.0,1.9368583976296252,0.0,0.0,-0.3725551885417383
0.0,0.0,1.932527797322765,0.0,0.0,-0.4330600306860116
0.0,0.0,1.927594116366644,0.0,0.0,-0.4933680956120938
0.0,0.0,1.9220596102684122,0.0,0.0,-0.553450609823148
0.0,0.0,1.9159268181096558,0.0,0.0,-0.6132792158756546
0.0,0.0,1.9091985578595243,0.0,0.0,-0.6728260250131466
0.0,0.0,1.9018779211791284,0.0,0.0,-0.7320636680396138
0.0,0.0,1.893968267742724,0.0,0.0,-0.7909653436404338
0.0,0.0,1.8854732190052896,0.0,0.0,-0.8495048737434445
0.0,0.0,1.876396651777311,0.0,0.0,-0.9076567227978822
0.0,0.0,1.8667426911385974,0.0,0.0,-0.9653960638713812
0.0,0.0,1.8565157030396309,0.0,0.0,-1.0226988098966336
0.0,0.0,1.84572028654381,0.0,0.0,-1.0795416495820997
0.0,0.0,1.8343612657369888,0.0,0.0,-1.1359020806821423
0.0,0.0,1.8224436813342426,0.0,0.0,-1.1917584402746078
0.0,0.0,1.8099727820049822,0.0,0.0,-1.2470899329260157
0.0,0.0,1.7969540153838603,0.0,0.0,-1.3018766621121884
0.0,0.0,1.7833930190983671,0.0,0.0,-1.3560996285493185
0.0,0.0,1.7692956113854237,0.0,0.0,-1.4097407712943284
0.0,0.0,1.7546677816278713,0.0,0.0,-1.462782975755237
0.0,0.0,1.739515680771257,0.0,0.0,-1.5152100856614428
0.0,0.0,1.7240530713775302,0.0,0.0,-1.5462609393726916
0.0,0.0,1.7087908593594658,0.0,0.0,-1.526221201806418
0.0,0.0,1.6941752193350221,0.0,0.0,-1.4615640024443863
0.0,0.0,1.6805697421805936,0.0,0.0,-1.360547715442855
0.0,0.0,1.6682446360673273,0.0,0.0,-1.2325106113266255
0.0,0.0,1.657372517304939,0.0,0.0,-1.087211876238839
0.0,0.0,1.6480300147811615,0.0,0.0,-0.934250252377766
0.0,0.0,1.640204298003932,0.0,0.0,-0.7825716777229588
0.0,0.0,1.6338035294460713,0.0,0.0,-0.6400768557860461
0.0,0.0,1.628670277276449,0.0,0.0,-0.513325216962232
0.0,0.0,1.6245969048856064,0.0,0.0,-0.40733723908424224
0.0,0.0,1.6213420046542648,0.0,0.0,-0.3254900231341723
